item_id,title,pict_url,category,brand_id,seller_id
277,2014 秋装 新款 打底衫 韩版 女装 衣服 潮流 条纹 大码 宽松上衣 长袖t恤 女 ,http://img01.taobaocdn.com/bao/uploaded/i1/TB1AqNMFVXXXXXhaXXXXXXXXXXX_!!0-item_pic.jpg,2-7,null,s1
185,2014 春秋装 新款 青年 男士夹克 秋季 休闲 薄 外套 韩版 修身 棒球服 衫 大码 ,http://img01.taobaocdn.com/bao/uploaded/i2/T1OfxpFA0aXXXXXXXX_!!0-item_pic.jpg,1-6,b1,s2
541,秋冬 棉 外 穿 加绒 加厚打底裤 女 显 瘦 弹力 大码 九 分 踩脚 一体 保暖 压力 裤 ,http://img01.taobaocdn.com/bao/uploaded/i1/TB1MTMTGXXXXXXkXXXXXXXXXXXX_!!0-item_pic.jpg,2-3,b2,s3
96,秋款 加厚 纯棉 莫代尔 打底裤 外 穿 秋 2014 新 女士 显 瘦 大码 秋冬 小脚 长裤 ,http://img01.taobaocdn.com/bao/uploaded/i3/TB1o6E8GpXXXXbTXFXXXXXXXXXX_!!0-item_pic.jpg,2-3,null,s4
218,贝诗奈尔 秋冬款 加绒 加厚 男装牛仔裤 男士 直筒 休闲 长 裤子 韩版 修身 潮 ,http://img01.taobaocdn.com/bao/uploaded/i4/T1b._zFPBaXXXXXXXX_!!0-item_pic.jpg,1-4,b3,s5
546,2014 秋装 新款 韩版 打底 白 衬衫 女 长袖 花边 立领 大码 女士衬衣 棉麻上衣 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1JVz8GpXXXXanXXXXXXXXXXXX_!!0-item_pic.jpg,2-9,b4,s6
545,【 1 折 网 】 欧洲站 2014 秋装 新款 大码女装 猫头鹰 卫衣 t恤 女 薄款外套 女 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1kGDoFVXXXXc3XXXXXXXXXXXX_!!0-item_pic.jpg,2-7,null,s7
552,2014 秋季 新款 韩版 潮 外 穿 打底裤 女士铅笔裤 显 瘦 弹力 修身小脚裤 子女 ,http://img01.taobaocdn.com/bao/uploaded/i4/T1JxLaFzXXXXXXXXXX_!!0-item_pic.jpg,2-3,b5,s8
127,2014 秋装 新款 韩版 潮 大码 休闲长裤 显 瘦 哈伦 裤 小脚 针织 职业 工作 女裤 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1NkU3FFXXXXbJXVXXXXXXXXXX_!!0-item_pic.jpg,2-2,null,s9
325,萨萨 公子 秋装 新款 修身 男士休闲裤 男装 小脚 男 裤子 韩版直筒长裤 男 潮 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1wlkJGXXXXXchXXXXXXXXXXXX_!!0-item_pic.jpg,1-2,b6,s10
178,czwei 秋冬季 上 新 牛仔裤 男 修身男装 直筒 中腰 男士 长 裤子 休闲 韩版 潮 ,http://img01.taobaocdn.com/bao/uploaded/i3/TB17InNGpXXXXaHXFXXXXXXXXXX_!!0-item_pic.jpg,1-4,b7,s11
136,韩版 男装 修身 男士 牛仔长裤 男 直筒 秋冬款 加绒牛仔裤 男 青年 大码 黑色 ,http://img01.taobaocdn.com/bao/uploaded/i2/14289043313676297/T1lsi1FiFgXXXXXXXX_!!0-item_pic.jpg,1-4,b8,s12
93,2014 春秋装 韩版 新款 女装 长袖 条纹 中长款 显 瘦 外 搭 针织衫 女 开衫外套 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1HoSXGXXXXXcvXFXXXXXXXXXX_!!0-item_pic.jpg,2-5,b9,s13
221,毛菇 小象   小脚 铅笔裤   休闲打底裤 长裤   大码女裤   2014 秋装 新款 女装 ,http://img01.taobaocdn.com/bao/uploaded/i1/T1HVWeFy0iXXXXXXXX_!!0-item_pic.jpg,2-2,b10,s14
37,秋季 薄款 九 分 踩脚打底裤 韩版 弹力 显 瘦 外 穿 加绒 大码 长裤 女士 小脚裤 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1izZKGXXXXXarXpXXXXXXXXXX_!!0-item_pic.jpg,2-3,b11,s15
519,2014 秋冬新款 韩版 女装 大码 修身 显 瘦 长袖 网纱 蕾丝衫 上衣 加绒 打底衫 ,http://img01.taobaocdn.com/bao/uploaded/i4/TB1ndY_FVXXXXbKXXXXXXXXXXXX_!!0-item_pic.jpg,2-12,null,s16
314,加绒 加厚打底裤 外 穿 2014 新 高腰 秋款 显 瘦 小脚 棉裤 冬季 大码女装 秋冬 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1W7K8GXXXXXXBXpXXXXXXXXXX_!!0-item_pic.jpg,2-3,b12,s17
346,2014 冬装 新款 加厚 男士 长袖t恤 潮 男装 打底衫 韩版 v领 修身 加绒 体恤 衫 ,http://img01.taobaocdn.com/bao/uploaded/i3/TB145tTGFXXXXXCXXXXXXXXXXXX_!!0-item_pic.jpg,1-7,null,s18
343,2014 秋冬新款 大码女装 欧美 复古连衣裙 A 字 收腰 小 清新 秋装连衣裙 子 ,http://img01.taobaocdn.com/bao/uploaded/i2/TB1WWcgFVXXXXXuXpXXXXXXXXXX_!!0-item_pic.jpg,2-10,null,s19
162,春秋款 假两件 打底裤 裙裤 外 穿 2014 新 高腰 加绒 加厚 女士 秋冬款 雅 羊 人 ,http://img01.taobaocdn.com/bao/uploaded/i1/TB1.HRzGXXXXXXAXFXXXXXXXXXX_!!0-item_pic.jpg,2-3,b13,s20
126,乔邦 鼠 男装 2014 韩版 潮 男士V领T恤   男生 修身 印花 长袖衣服 打底衫 男 ,http://img01.taobaocdn.com/bao/uploaded/i4/T1Q8d0FktXXXXXXXXX_!!0-item_pic.jpg,1-7,b14,s21
405,2014 秋装新款连衣裙 韩版 大码女装 长袖 职业 修身 娃娃领 春秋连衣裙 子 ,http://img01.taobaocdn.com/bao/uploaded/i1/T1BV9VFeXdXXXXXXXX_!!0-item_pic.jpg,2-10,null,s22
